Parity,Head,Tail,Close
CVPUSDT,CVP,USDT,0.31300000
AGLDBTC,AGLD,BTC,0.00001886
AGLDBUSD,AGLD,BUSD,0.48700000
AGLDUSDT,AGLD,USDT,0.48800000
RADBTC,RAD,BTC,0.00006430
RADBUSD,RAD,BUSD,1.65500000
RADUSDT,RAD,USDT,1.65600000
HIVEBUSD,HIVE,BUSD,0.29440000
STPTBUSD,STPT,BUSD,0.03517000
BETABTC,BETA,BTC,0.00000304
BETABNB,BETA,BNB,0.00032720
BETABUSD,BETA,BUSD,0.07865000
BETAUSDT,BETA,USDT,0.07872000
RAREBTC,RARE,BTC,0.00000249
RAREBUSD,RARE,BUSD,0.06440000
RAREUSDT,RARE,USDT,0.06420000
AVAXBRL,AVAX,BRL,57.60000000
TROYBUSD,TROY,BUSD,0.00194200
AXSETH,AXS,ETH,0.00280300
FTMETH,FTM,ETH,0.00015040
SOLETH,SOL,ETH,0.00860000
SSVBTC,SSV,BTC,0.00063440
SSVETH,SSV,ETH,0.00941100
LAZIOTRY,LAZIO,TRY,45.15300000
LAZIOEUR,LAZIO,EUR,1.76510000
LAZIOBTC,LAZIO,BTC,0.00007243
LAZIOUSDT,LAZIO,USDT,1.88940000
CHESSBTC,CHESS,BTC,0.00000490
CHESSBUSD,CHESS,BUSD,0.12680000
CHESSUSDT,CHESS,USDT,0.12650000
SCRTBUSD,SCRT,BUSD,0.29800000
ADXUSDT,ADX,USDT,0.13170000
AUCTIONUSDT,AUCTION,USDT,3.82000000
CELOBUSD,CELO,BUSD,0.41100000
REEFTRY,REEF,TRY,0.03700000
SHIBDOGE,SHIB,DOGE,0.00010980
DARUSDT,DAR,USDT,0.09658000
DARBUSD,DAR,BUSD,0.09649000
DARBNB,DAR,BNB,0.00040160
DARBTC,DAR,BTC,0.00000371
BNXBTC,BNX,BTC,0.00001040
BNXBNB,BNX,BNB,0.00110700
BNXBUSD,BNX,BUSD,0.26900000
BNXUSDT,BNX,USDT,0.26900000
LAZIOBUSD,LAZIO,BUSD,1.88750000
OXTBUSD,OXT,BUSD,0.05120000
MANATRY,MANA,TRY,8.16000000
ALGORUB,ALGO,RUB,9.59000000
MOVRBTC,MOVR,BTC,0.00019050
MOVRBUSD,MOVR,BUSD,4.94000000
MOVRUSDT,MOVR,USDT,4.93000000
CITYBTC,CITY,BTC,0.00013320
CITYBUSD,CITY,BUSD,3.48000000
CITYUSDT,CITY,USDT,3.48000000
ENSBTC,ENS,BTC,0.00029390
ENSBNB,ENS,BNB,0.03160000
ENSBUSD,ENS,BUSD,7.60000000
ENSUSDT,ENS,USDT,7.60000000
SANDETH,SAND,ETH,0.00022150
